"[1, 257]",<function CalculateWeightLinear at 0x000001D8D65199D0>,rev,sold,0
"[2, 514]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237468000,21588,21588
"[3, 771]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237468000,21588,21588
"[4, 1028]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237468000,21588,21588
"[5, 1285]",<function CalculateWeightLinear at 0x000001D8D65199D0>,240295000,21845,21845
"[6, 1542]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237468000,21588,21588
"[7, 1800]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237600000,21600,21600
"[8, 2057]",<function CalculateWeightLinear at 0x000001D8D65199D0>,248897000,22627,22627
"[9, 2314]",<function CalculateWeightLinear at 0x000001D8D65199D0>,229086000,20826,20826
"[10, 2571]",<function CalculateWeightLinear at 0x000001D8D65199D0>,226248000,20568,20568
"[11, 2828]",<function CalculateWeightLinear at 0x000001D8D65199D0>,248864000,22624,22624
"[12, 3085]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237545000,21595,21595
"[13, 3342]",<function CalculateWeightLinear at 0x000001D8D65199D0>,220572000,20052,20052
"[14, 3600]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237600000,21600,21600
"[15, 3857]",<function CalculateWeightLinear at 0x000001D8D65199D0>,254562000,23142,23142
"[16, 4114]",<function CalculateWeightLinear at 0x000001D8D65199D0>,271524000,24684,24684
"[17, 4371]",<function CalculateWeightLinear at 0x000001D8D65199D0>,240405000,21855,21855
"[18, 4628]",<function CalculateWeightLinear at 0x000001D8D65199D0>,254540000,23140,23140
"[19, 4885]",<function CalculateWeightLinear at 0x000001D8D65199D0>,214940000,19540,19540
"[20, 5142]",<function CalculateWeightLinear at 0x000001D8D65199D0>,226248000,20568,20568
"[21, 5400]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237600000,21600,21600
"[22, 5657]",<function CalculateWeightLinear at 0x000001D8D65199D0>,248908000,22628,22628
"[23, 5914]",<function CalculateWeightLinear at 0x000001D8D65199D0>,260216000,23656,23656
"[24, 6171]",<function CalculateWeightLinear at 0x000001D8D65199D0>,203643000,18513,18513
"[25, 6428]",<function CalculateWeightLinear at 0x000001D8D65199D0>,282832000,25712,25712
"[26, 6685]",<function CalculateWeightLinear at 0x000001D8D65199D0>,220605000,20055,20055
"[27, 6942]",<function CalculateWeightLinear at 0x000001D8D65199D0>,229086000,20826,20826
"[28, 7200]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237600000,21600,21600
"[29, 7457]",<function CalculateWeightLinear at 0x000001D8D65199D0>,247939543.8,22371,21972
"[30, 7714]",<function CalculateWeightLinear at 0x000001D8D65199D0>,254562000,23142,23142
"[31, 7971]",<function CalculateWeightLinear at 0x000001D8D65199D0>,263043000,23913,23913
"[32, 8228]",<function CalculateWeightLinear at 0x000001D8D65199D0>,271524000,24684,24684
"[33, 8485]",<function CalculateWeightLinear at 0x000001D8D65199D0>,186670000,16970,16970
"[34, 8742]",<function CalculateWeightLinear at 0x000001D8D65199D0>,192324000,17484,17484
"[35, 9000]",<function CalculateWeightLinear at 0x000001D8D65199D0>,298143910.7,27000,26757
"[36, 9257]",<function CalculateWeightLinear at 0x000001D8D65199D0>,305481000,27771,27771
"[37, 9514]",<function CalculateWeightLinear at 0x000001D8D65199D0>,209308000,19028,19028
"[38, 9771]",<function CalculateWeightLinear at 0x000001D8D65199D0>,214962000,19542,19542
"[39, 10028]",<function CalculateWeightLinear at 0x000001D8D65199D0>,220616000,20056,20056
"[40, 10285]",<function CalculateWeightLinear at 0x000001D8D65199D0>,226270000,20570,20570
"[41, 10542]",<function CalculateWeightLinear at 0x000001D8D65199D0>,231924000,21084,21084
"[42, 10800]",<function CalculateWeightLinear at 0x000001D8D65199D0>,237600000,21600,21600
"[43, 11057]",<function CalculateWeightLinear at 0x000001D8D65199D0>,121627000,11057,11057
"[44, 11314]",<function CalculateWeightLinear at 0x000001D8D65199D0>,263291853.4,22628,19381
"[45, 11571]",<function CalculateWeightLinear at 0x000001D8D65199D0>,263541553.2,23142,21158
"[46, 11828]",<function CalculateWeightLinear at 0x000001D8D65199D0>,263776019.2,23656,22884
"[47, 12085]",<function CalculateWeightLinear at 0x000001D8D65199D0>,266906722.9,24170,23950
"[48, 12342]",<function CalculateWeightLinear at 0x000001D8D65199D0>,271524000,24684,24684
"[49, 12600]",<function CalculateWeightLinear at 0x000001D8D65199D0>,277200000,25200,25200
"[50, 12857]",<function CalculateWeightLinear at 0x000001D8D65199D0>,282854000,25714,25714
"[51, 13114]",<function CalculateWeightLinear at 0x000001D8D65199D0>,288508000,26228,26228
"[52, 13371]",<function CalculateWeightLinear at 0x000001D8D65199D0>,147081000,13371,13371
"[53, 13628]",<function CalculateWeightLinear at 0x000001D8D65199D0>,149908000,13628,13628
"[54, 13885]",<function CalculateWeightLinear at 0x000001D8D65199D0>,152735000,13885,13885
"[55, 14142]",<function CalculateWeightLinear at 0x000001D8D65199D0>,155562000,14142,14142
"[56, 14400]",<function CalculateWeightLinear at 0x000001D8D65199D0>,158400000,14400,14400
"[57, 14657]",<function CalculateWeightLinear at 0x000001D8D65199D0>,161227000,14657,14657
"[58, 14914]",<function CalculateWeightLinear at 0x000001D8D65199D0>,374645764.9,29828,16226
"[59, 15171]",<function CalculateWeightLinear at 0x000001D8D65199D0>,377100371.9,30342,18742
"[60, 15428]",<function CalculateWeightLinear at 0x000001D8D65199D0>,380449973.6,30856,20030
"[61, 15685]",<function CalculateWeightLinear at 0x000001D8D65199D0>,384494388.5,31370,21069
"[62, 15942]",<function CalculateWeightLinear at 0x000001D8D65199D0>,375267065.1,31884,25923
"[63, 16200]",<function CalculateWeightLinear at 0x000001D8D65199D0>,378542523.2,32400,27074
"[64, 16457]",<function CalculateWeightLinear at 0x000001D8D65199D0>,381419640.9,32914,28305
"[65, 16714]",<function CalculateWeightLinear at 0x000001D8D65199D0>,197726774.9,16714,13404
"[66, 16971]",<function CalculateWeightLinear at 0x000001D8D65199D0>,199160059.8,16971,14023
"[67, 17228]",<function CalculateWeightLinear at 0x000001D8D65199D0>,200270945.4,17228,14733
"[68, 17485]",<function CalculateWeightLinear at 0x000001D8D65199D0>,202353232.7,17485,15184
"[69, 17742]",<function CalculateWeightLinear at 0x000001D8D65199D0>,202918896.1,17742,16001
"[70, 18000]",<function CalculateWeightLinear at 0x000001D8D65199D0>,198000000,18000,18000